time,volumn
2018/2/16 9:00,1360
2018/2/16 9:05,1327
2018/2/16 9:10,1395
2018/2/16 9:15,1379
2018/2/16 9:20,1408
2018/2/16 9:25,1450
2018/2/16 9:30,1385
2018/2/16 9:35,1434
2018/2/16 9:40,1417
2018/2/16 9:45,1421
2018/2/16 9:50,1466
2018/2/16 9:55,1454
2018/2/16 10:00,1538
2018/2/16 10:05,1453
2018/2/16 10:10,1448
2018/2/16 10:15,1490
2018/2/16 10:20,1457
2018/2/16 10:25,1389
2018/2/16 10:30,1475
2018/2/16 10:35,1549
2018/2/16 10:40,1464
2018/2/16 10:45,1542
2018/2/16 10:50,1438
2018/2/16 10:55,1537
2018/2/16 11:00,1580
2018/2/16 11:05,1517
2018/2/16 11:10,1549
2018/2/16 11:15,1473
2018/2/16 11:20,1532
2018/2/16 11:25,1473
2018/2/16 11:30,1565
2018/2/16 11:35,1496
2018/2/16 11:40,1491
2018/2/16 11:45,1500
2018/2/16 11:50,1501
2018/2/16 11:55,1518
2018/2/16 12:00,1470
2018/2/16 12:05,1515
2018/2/16 12:10,1506
2018/2/16 12:15,1454
2018/2/16 12:20,1528
2018/2/16 12:25,1516
2018/2/16 12:30,1585
2018/2/16 12:35,1510
2018/2/16 12:40,1541
2018/2/16 12:45,1530
2018/2/16 12:50,1599
2018/2/16 12:55,1525
2018/2/16 13:00,1563
2018/2/16 13:05,1468
2018/2/16 13:10,1555
2018/2/16 13:15,1486
2018/2/16 13:20,1554
2018/2/16 13:25,1567
2018/2/16 13:30,1520
2018/2/16 13:35,1497
2018/2/16 13:40,1573
2018/2/16 13:45,1586
2018/2/16 13:50,1534
2018/2/16 13:55,1509
2018/2/16 14:00,1539
2018/2/16 14:05,1603
2018/2/16 14:10,1605
2018/2/16 14:15,1626
2018/2/16 14:20,1724
2018/2/16 14:25,1679
2018/2/16 14:30,1651
2018/2/16 14:35,1830
2018/2/16 14:40,1590
2018/2/16 14:45,1811
2018/2/16 14:50,1988
2018/2/16 14:55,1671
2018/2/16 15:00,1683
2018/2/16 15:05,1663
2018/2/16 15:10,1592
2018/2/16 15:15,1686
2018/2/16 15:20,1605
2018/2/16 15:25,1578
2018/2/16 15:30,1624
2018/2/16 15:35,1584
2018/2/16 15:40,1668
2018/2/16 15:45,1642
2018/2/16 15:50,1587
2018/2/16 15:55,1584
2018/2/16 16:00,1590
2018/2/16 16:05,1733
2018/2/16 16:10,1636
2018/2/16 16:15,1565
2018/2/16 16:20,1568
2018/2/16 16:25,1567
2018/2/16 16:30,1546
2018/2/16 16:35,1630
2018/2/16 16:40,1651
2018/2/16 16:45,1725
2018/2/16 16:50,1638
2018/2/16 16:55,1580
2018/2/16 17:00,1526
2018/2/16 17:05,1523
2018/2/16 17:10,1626
2018/2/16 17:15,1526
2018/2/16 17:20,1666
2018/2/16 17:25,1856
2018/2/16 17:30,1739
2018/2/16 17:35,1685
2018/2/16 17:40,1802
2018/2/16 17:45,1748
2018/2/16 17:50,1504
2018/2/16 17:55,1571
2018/2/16 18:00,1708
2018/2/16 18:05,1588
2018/2/16 18:10,1656
2018/2/16 18:15,1475
2018/2/16 18:20,1560
2018/2/16 18:25,1607
2018/2/16 18:30,1518
2018/2/16 18:35,1563
2018/2/16 18:40,1505
2018/2/16 18:45,1535
2018/2/16 18:50,1483
2018/2/16 18:55,1458
2018/2/16 19:00,1542
2018/2/16 19:05,1465
2018/2/16 19:10,1476
2018/2/16 19:15,1634
2018/2/16 19:20,1499
2018/2/16 19:25,1414
2018/2/16 19:30,1444
2018/2/16 19:35,1610
2018/2/16 19:40,1443
2018/2/16 19:45,1407
2018/2/16 19:50,1480
2018/2/16 19:55,1462
2018/2/16 20:00,1512
2018/2/16 20:05,1439
2018/2/16 20:10,1427
2018/2/16 20:15,1397
2018/2/16 20:20,1615
2018/2/16 20:25,1407
2018/2/16 20:30,1396
2018/2/16 20:35,1409
2018/2/16 20:40,1503
2018/2/16 20:45,1427
2018/2/16 20:50,1411
2018/2/16 20:55,1394
2018/2/16 21:00,1482
2018/2/16 21:05,1315
2018/2/16 21:10,1473
2018/2/16 21:15,1361
2018/2/16 21:20,1286
2018/2/16 21:25,1368
2018/2/16 21:30,1410
2018/2/16 21:35,1393
2018/2/16 21:40,1365
2018/2/16 21:45,1356
2018/2/16 21:50,1369
2018/2/16 21:55,1521
2018/2/16 22:00,1359
2018/2/16 22:05,1382
2018/2/16 22:10,1426
2018/2/16 22:15,1426
2018/2/16 22:20,1465
2018/2/16 22:25,1411
2018/2/16 22:30,1498
2018/2/16 22:35,1449
2018/2/16 22:40,1395
2018/2/16 22:45,1521
2018/2/16 22:50,1434
2018/2/16 22:55,1444
2018/2/16 23:00,1342
2018/2/16 23:05,1364
2018/2/16 23:10,1331
2018/2/16 23:15,1406
2018/2/16 23:20,1362
2018/2/16 23:25,1342
2018/2/16 23:30,1317
2018/2/16 23:35,1340
2018/2/16 23:40,1382
2018/2/16 23:45,1334
2018/2/16 23:50,1350
2018/2/16 23:55,1358
2018/2/17,1345
2018/2/17 0:05,1377
2018/2/17 0:10,1415
2018/2/17 0:15,1404
2018/2/17 0:20,1310
2018/2/17 0:25,1342
2018/2/17 0:30,1325
2018/2/17 0:35,1274
2018/2/17 0:40,1317
2018/2/17 0:45,1394
2018/2/17 0:50,1378
2018/2/17 0:55,1454
2018/2/17 1:00,1281
2018/2/17 1:05,1335
2018/2/17 1:10,1328
2018/2/17 1:15,1351
2018/2/17 1:20,1298
2018/2/17 1:25,1310
2018/2/17 1:30,1370
2018/2/17 1:35,1322
2018/2/17 1:40,1318
2018/2/17 1:45,1277
2018/2/17 1:50,1287
2018/2/17 1:55,1252
2018/2/17 2:00,1259
2018/2/17 2:05,1312
2018/2/17 2:10,1275
2018/2/17 2:15,1259
2018/2/17 2:20,1271
2018/2/17 2:25,1237
2018/2/17 2:30,1244
2018/2/17 2:35,1297
2018/2/17 2:40,1262
2018/2/17 2:45,1268
2018/2/17 2:50,1314
2018/2/17 2:55,1319
2018/2/17 3:00,1148
2018/2/17 3:05,1172
2018/2/17 3:10,1203
2018/2/17 3:15,1179
2018/2/17 3:20,1264
2018/2/17 3:25,1223
2018/2/17 3:30,1236
2018/2/17 3:35,1295
2018/2/17 3:40,1279
2018/2/17 3:45,1205
2018/2/17 3:50,1228
2018/2/17 3:55,1190
2018/2/17 4:00,1198
2018/2/17 4:05,1182
2018/2/17 4:10,1200
2018/2/17 4:15,1280
2018/2/17 4:20,1182
